[2025-05-24 13:27:55,896] INFO in error_handlers: Application startup
[2025-05-24 13:52:09,025] INFO in base: select current_schema()
[2025-05-24 13:52:09,025] INFO in base: select current_schema()
[2025-05-24 13:52:09,026] INFO in base: [raw sql] ()
[2025-05-24 13:52:09,026] INFO in base: [raw sql] ()
[2025-05-24 13:52:09,522] INFO in base: show standard_conforming_strings
[2025-05-24 13:52:09,522] INFO in base: show standard_conforming_strings
[2025-05-24 13:52:09,523] INFO in base: [raw sql] ()
[2025-05-24 13:52:09,523] INFO in base: [raw sql] ()
[2025-05-24 13:52:09,913] INFO in base: BEGIN (implicit)
[2025-05-24 13:52:09,913] INFO in base: BEGIN (implicit)
[2025-05-24 13:52:09,914] INFO in base: COMMIT
[2025-05-24 13:52:09,914] INFO in base: COMMIT
[2025-05-24 13:53:07,040] INFO in error_handlers: Application startup
[2025-05-24 13:53:08,051] INFO in error_handlers: Application startup
[2025-05-24 13:53:08,137] INFO in error_handlers: Application startup
[2025-05-24 13:53:08,137] INFO in error_handlers: Application startup
[2025-05-24 13:53:09,583] INFO in base: select pg_catalog.version()
[2025-05-24 13:53:09,583] INFO in base: select pg_catalog.version()
[2025-05-24 13:53:09,584] INFO in base: [raw sql] ()
[2025-05-24 13:53:09,584] INFO in base: [raw sql] ()
[2025-05-24 13:53:10,103] INFO in base: select current_schema()
[2025-05-24 13:53:10,103] INFO in base: select current_schema()
[2025-05-24 13:53:10,103] INFO in base: [raw sql] ()
[2025-05-24 13:53:10,103] INFO in base: [raw sql] ()
[2025-05-24 13:53:10,613] INFO in base: show standard_conforming_strings
[2025-05-24 13:53:10,613] INFO in base: show standard_conforming_strings
[2025-05-24 13:53:10,613] INFO in base: [raw sql] ()
[2025-05-24 13:53:10,613] INFO in base: [raw sql] ()
[2025-05-24 13:53:10,999] INFO in base: BEGIN (implicit)
[2025-05-24 13:53:10,999] INFO in base: BEGIN (implicit)
[2025-05-24 13:53:11,000] INFO in base: COMMIT
[2025-05-24 13:53:11,000] INFO in base: COMMIT
[2025-05-24 13:53:26,205] INFO in error_handlers: Application startup
[2025-05-24 13:53:27,190] INFO in error_handlers: Application startup
[2025-05-24 13:53:27,267] INFO in error_handlers: Application startup
[2025-05-24 13:53:27,267] INFO in error_handlers: Application startup
[2025-05-24 13:53:29,017] INFO in base: select pg_catalog.version()
[2025-05-24 13:53:29,017] INFO in base: select pg_catalog.version()
[2025-05-24 13:53:29,018] INFO in base: [raw sql] ()
[2025-05-24 13:53:29,018] INFO in base: [raw sql] ()
[2025-05-24 13:53:29,549] INFO in base: select current_schema()
[2025-05-24 13:53:29,549] INFO in base: select current_schema()
[2025-05-24 13:53:29,549] INFO in base: [raw sql] ()
[2025-05-24 13:53:29,549] INFO in base: [raw sql] ()
[2025-05-24 13:53:30,058] INFO in base: show standard_conforming_strings
[2025-05-24 13:53:30,058] INFO in base: show standard_conforming_strings
[2025-05-24 13:53:30,059] INFO in base: [raw sql] ()
[2025-05-24 13:53:30,059] INFO in base: [raw sql] ()
[2025-05-24 13:53:30,474] INFO in base: BEGIN (implicit)
[2025-05-24 13:53:30,474] INFO in base: BEGIN (implicit)
[2025-05-24 13:53:30,475] INFO in base: COMMIT
[2025-05-24 13:53:30,475] INFO in base: COMMIT
[2025-05-24 13:56:05,077] INFO in error_handlers: Application startup
[2025-05-24 13:56:05,167] INFO in error_handlers: Application startup
[2025-05-24 13:56:05,167] INFO in error_handlers: Application startup
[2025-05-24 13:56:06,576] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:06,576] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:06,577] INFO in base: [raw sql] ()
[2025-05-24 13:56:06,577] INFO in base: [raw sql] ()
[2025-05-24 13:56:07,063] INFO in base: select current_schema()
[2025-05-24 13:56:07,063] INFO in base: select current_schema()
[2025-05-24 13:56:07,064] INFO in base: [raw sql] ()
[2025-05-24 13:56:07,064] INFO in base: [raw sql] ()
[2025-05-24 13:56:07,551] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:07,551] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:07,552] INFO in base: [raw sql] ()
[2025-05-24 13:56:07,552] INFO in base: [raw sql] ()
[2025-05-24 13:56:07,918] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:07,918] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:07,919] INFO in base: COMMIT
[2025-05-24 13:56:07,919] INFO in base: COMMIT
[2025-05-24 13:56:21,382] INFO in error_handlers: Application startup
[2025-05-24 13:56:21,451] INFO in error_handlers: Application startup
[2025-05-24 13:56:21,451] INFO in error_handlers: Application startup
[2025-05-24 13:56:22,869] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:22,869] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:22,870] INFO in base: [raw sql] ()
[2025-05-24 13:56:22,870] INFO in base: [raw sql] ()
[2025-05-24 13:56:23,380] INFO in base: select current_schema()
[2025-05-24 13:56:23,380] INFO in base: select current_schema()
[2025-05-24 13:56:23,380] INFO in base: [raw sql] ()
[2025-05-24 13:56:23,380] INFO in base: [raw sql] ()
[2025-05-24 13:56:23,884] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:23,884] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:23,885] INFO in base: [raw sql] ()
[2025-05-24 13:56:23,885] INFO in base: [raw sql] ()
[2025-05-24 13:56:24,279] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:24,279] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:24,280] INFO in base: COMMIT
[2025-05-24 13:56:24,280] INFO in base: COMMIT
[2025-05-24 13:56:25,257] INFO in error_handlers: Application startup
[2025-05-24 13:56:25,317] INFO in error_handlers: Application startup
[2025-05-24 13:56:25,317] INFO in error_handlers: Application startup
[2025-05-24 13:56:26,704] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:26,704] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:26,704] INFO in base: [raw sql] ()
[2025-05-24 13:56:26,704] INFO in base: [raw sql] ()
[2025-05-24 13:56:27,195] INFO in base: select current_schema()
[2025-05-24 13:56:27,195] INFO in base: select current_schema()
[2025-05-24 13:56:27,196] INFO in base: [raw sql] ()
[2025-05-24 13:56:27,196] INFO in base: [raw sql] ()
[2025-05-24 13:56:27,686] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:27,686] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:27,687] INFO in base: [raw sql] ()
[2025-05-24 13:56:27,687] INFO in base: [raw sql] ()
[2025-05-24 13:56:28,054] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:28,054] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:28,055] INFO in base: COMMIT
[2025-05-24 13:56:28,055] INFO in base: COMMIT
[2025-05-24 13:56:33,437] INFO in error_handlers: Application startup
[2025-05-24 13:56:34,488] INFO in error_handlers: Application startup
[2025-05-24 13:56:34,550] INFO in error_handlers: Application startup
[2025-05-24 13:56:34,550] INFO in error_handlers: Application startup
[2025-05-24 13:56:35,970] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:35,970] INFO in base: select pg_catalog.version()
[2025-05-24 13:56:35,971] INFO in base: [raw sql] ()
[2025-05-24 13:56:35,971] INFO in base: [raw sql] ()
[2025-05-24 13:56:36,475] INFO in base: select current_schema()
[2025-05-24 13:56:36,475] INFO in base: select current_schema()
[2025-05-24 13:56:36,476] INFO in base: [raw sql] ()
[2025-05-24 13:56:36,476] INFO in base: [raw sql] ()
[2025-05-24 13:56:36,980] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:36,980] INFO in base: show standard_conforming_strings
[2025-05-24 13:56:36,980] INFO in base: [raw sql] ()
[2025-05-24 13:56:36,980] INFO in base: [raw sql] ()
[2025-05-24 13:56:37,353] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:37,353] INFO in base: BEGIN (implicit)
[2025-05-24 13:56:37,354] INFO in base: COMMIT
[2025-05-24 13:56:37,354] INFO in base: COMMIT
[2025-05-24 13:58:23,955] INFO in error_handlers: Application startup
[2025-05-24 13:58:24,792] INFO in error_handlers: Application startup
[2025-05-24 13:58:24,854] INFO in error_handlers: Application startup
[2025-05-24 13:58:24,854] INFO in error_handlers: Application startup
[2025-05-24 13:58:26,310] INFO in base: select pg_catalog.version()
[2025-05-24 13:58:26,310] INFO in base: select pg_catalog.version()
[2025-05-24 13:58:26,311] INFO in base: [raw sql] ()
[2025-05-24 13:58:26,311] INFO in base: [raw sql] ()
[2025-05-24 13:58:26,854] INFO in base: select current_schema()
[2025-05-24 13:58:26,854] INFO in base: select current_schema()
[2025-05-24 13:58:26,854] INFO in base: [raw sql] ()
[2025-05-24 13:58:26,854] INFO in base: [raw sql] ()
[2025-05-24 13:58:27,363] INFO in base: show standard_conforming_strings
[2025-05-24 13:58:27,363] INFO in base: show standard_conforming_strings
[2025-05-24 13:58:27,363] INFO in base: [raw sql] ()
[2025-05-24 13:58:27,363] INFO in base: [raw sql] ()
[2025-05-24 13:58:27,742] INFO in base: BEGIN (implicit)
[2025-05-24 13:58:27,742] INFO in base: BEGIN (implicit)
[2025-05-24 13:58:27,743] INFO in base: COMMIT
[2025-05-24 13:58:27,743] INFO in base: COMMIT
[2025-05-24 14:06:37,892] INFO in base: BEGIN (implicit)
[2025-05-24 14:06:37,892] INFO in base: BEGIN (implicit)
[2025-05-24 14:06:37,894] INFO in base: ROLLBACK
[2025-05-24 14:06:37,894] INFO in base: ROLLBACK
[2025-05-24 14:06:51,889] INFO in base: BEGIN (implicit)
[2025-05-24 14:06:51,889] INFO in base: BEGIN (implicit)
[2025-05-24 14:06:51,889] INFO in base: ROLLBACK
[2025-05-24 14:06:51,889] INFO in base: ROLLBACK
[2025-05-24 14:07:59,444] INFO in error_handlers: Application startup
[2025-05-24 14:07:59,542] INFO in error_handlers: Application startup
[2025-05-24 14:07:59,542] INFO in error_handlers: Application startup
[2025-05-24 14:08:00,949] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:00,949] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:00,949] INFO in base: [raw sql] ()
[2025-05-24 14:08:00,949] INFO in base: [raw sql] ()
[2025-05-24 14:08:01,438] INFO in base: select current_schema()
[2025-05-24 14:08:01,438] INFO in base: select current_schema()
[2025-05-24 14:08:01,439] INFO in base: [raw sql] ()
[2025-05-24 14:08:01,439] INFO in base: [raw sql] ()
[2025-05-24 14:08:01,907] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:01,907] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:01,907] INFO in base: [raw sql] ()
[2025-05-24 14:08:01,907] INFO in base: [raw sql] ()
[2025-05-24 14:08:02,268] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:02,268] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:02,269] INFO in base: COMMIT
[2025-05-24 14:08:02,269] INFO in base: COMMIT
[2025-05-24 14:08:08,893] INFO in error_handlers: Application startup
[2025-05-24 14:08:08,973] INFO in error_handlers: Application startup
[2025-05-24 14:08:08,973] INFO in error_handlers: Application startup
[2025-05-24 14:08:10,394] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:10,394] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:10,395] INFO in base: [raw sql] ()
[2025-05-24 14:08:10,395] INFO in base: [raw sql] ()
[2025-05-24 14:08:10,893] INFO in base: select current_schema()
[2025-05-24 14:08:10,893] INFO in base: select current_schema()
[2025-05-24 14:08:10,893] INFO in base: [raw sql] ()
[2025-05-24 14:08:10,893] INFO in base: [raw sql] ()
[2025-05-24 14:08:11,392] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:11,392] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:11,393] INFO in base: [raw sql] ()
[2025-05-24 14:08:11,393] INFO in base: [raw sql] ()
[2025-05-24 14:08:11,766] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:11,766] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:11,766] INFO in base: COMMIT
[2025-05-24 14:08:11,766] INFO in base: COMMIT
[2025-05-24 14:08:37,049] INFO in error_handlers: Application startup
[2025-05-24 14:08:37,976] INFO in error_handlers: Application startup
[2025-05-24 14:08:38,065] INFO in error_handlers: Application startup
[2025-05-24 14:08:38,065] INFO in error_handlers: Application startup
[2025-05-24 14:08:39,498] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:39,498] INFO in base: select pg_catalog.version()
[2025-05-24 14:08:39,498] INFO in base: [raw sql] ()
[2025-05-24 14:08:39,498] INFO in base: [raw sql] ()
[2025-05-24 14:08:39,997] INFO in base: select current_schema()
[2025-05-24 14:08:39,997] INFO in base: select current_schema()
[2025-05-24 14:08:39,998] INFO in base: [raw sql] ()
[2025-05-24 14:08:39,998] INFO in base: [raw sql] ()
[2025-05-24 14:08:40,490] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:40,490] INFO in base: show standard_conforming_strings
[2025-05-24 14:08:40,490] INFO in base: [raw sql] ()
[2025-05-24 14:08:40,490] INFO in base: [raw sql] ()
[2025-05-24 14:08:40,860] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:40,860] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:40,861] INFO in base: COMMIT
[2025-05-24 14:08:40,861] INFO in base: COMMIT
[2025-05-24 14:08:42,282] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:42,282] INFO in base: BEGIN (implicit)
[2025-05-24 14:08:42,295] INFO in base: ROLLBACK
[2025-05-24 14:08:42,295] INFO in base: ROLLBACK
[2025-05-24 14:10:11,206] INFO in error_handlers: Application startup
[2025-05-24 14:10:11,289] INFO in error_handlers: Application startup
[2025-05-24 14:10:11,289] INFO in error_handlers: Application startup
[2025-05-24 14:10:12,842] INFO in base: select pg_catalog.version()
[2025-05-24 14:10:12,842] INFO in base: select pg_catalog.version()
[2025-05-24 14:10:12,842] INFO in base: [raw sql] ()
[2025-05-24 14:10:12,842] INFO in base: [raw sql] ()
[2025-05-24 14:10:13,347] INFO in base: select current_schema()
[2025-05-24 14:10:13,347] INFO in base: select current_schema()
[2025-05-24 14:10:13,347] INFO in base: [raw sql] ()
[2025-05-24 14:10:13,347] INFO in base: [raw sql] ()
[2025-05-24 14:10:13,850] INFO in base: show standard_conforming_strings
[2025-05-24 14:10:13,850] INFO in base: show standard_conforming_strings
[2025-05-24 14:10:13,851] INFO in base: [raw sql] ()
[2025-05-24 14:10:13,851] INFO in base: [raw sql] ()
[2025-05-24 14:10:14,230] INFO in base: BEGIN (implicit)
[2025-05-24 14:10:14,230] INFO in base: BEGIN (implicit)
[2025-05-24 14:10:14,231] INFO in base: COMMIT
[2025-05-24 14:10:14,231] INFO in base: COMMIT
[2025-05-24 14:10:22,498] INFO in base: BEGIN (implicit)
[2025-05-24 14:10:22,498] INFO in base: BEGIN (implicit)
[2025-05-24 14:10:22,510] INFO in base: ROLLBACK
[2025-05-24 14:10:22,510] INFO in base: ROLLBACK
[2025-05-24 14:11:51,567] INFO in error_handlers: Application startup
[2025-05-24 14:11:51,660] INFO in error_handlers: Application startup
[2025-05-24 14:11:51,660] INFO in error_handlers: Application startup
[2025-05-24 14:11:52,956] INFO in base: select pg_catalog.version()
[2025-05-24 14:11:52,956] INFO in base: select pg_catalog.version()
[2025-05-24 14:11:52,956] INFO in base: [raw sql] ()
[2025-05-24 14:11:52,956] INFO in base: [raw sql] ()
[2025-05-24 14:11:53,401] INFO in base: select current_schema()
[2025-05-24 14:11:53,401] INFO in base: select current_schema()
[2025-05-24 14:11:53,402] INFO in base: [raw sql] ()
[2025-05-24 14:11:53,402] INFO in base: [raw sql] ()
[2025-05-24 14:11:53,880] INFO in base: show standard_conforming_strings
[2025-05-24 14:11:53,880] INFO in base: show standard_conforming_strings
[2025-05-24 14:11:53,881] INFO in base: [raw sql] ()
[2025-05-24 14:11:53,881] INFO in base: [raw sql] ()
[2025-05-24 14:11:54,221] INFO in base: BEGIN (implicit)
[2025-05-24 14:11:54,221] INFO in base: BEGIN (implicit)
[2025-05-24 14:11:54,221] INFO in base: COMMIT
[2025-05-24 14:11:54,221] INFO in base: COMMIT
[2025-05-24 14:12:00,006] INFO in error_handlers: Application startup
[2025-05-24 14:12:00,092] INFO in error_handlers: Application startup
[2025-05-24 14:12:00,092] INFO in error_handlers: Application startup
[2025-05-24 14:12:01,563] INFO in base: select pg_catalog.version()
[2025-05-24 14:12:01,563] INFO in base: select pg_catalog.version()
[2025-05-24 14:12:01,564] INFO in base: [raw sql] ()
[2025-05-24 14:12:01,564] INFO in base: [raw sql] ()
[2025-05-24 14:12:02,083] INFO in base: select current_schema()
[2025-05-24 14:12:02,083] INFO in base: select current_schema()
[2025-05-24 14:12:02,083] INFO in base: [raw sql] ()
[2025-05-24 14:12:02,083] INFO in base: [raw sql] ()
[2025-05-24 14:12:02,605] INFO in base: show standard_conforming_strings
[2025-05-24 14:12:02,605] INFO in base: show standard_conforming_strings
[2025-05-24 14:12:02,605] INFO in base: [raw sql] ()
[2025-05-24 14:12:02,605] INFO in base: [raw sql] ()
[2025-05-24 14:12:03,006] INFO in base: BEGIN (implicit)
[2025-05-24 14:12:03,006] INFO in base: BEGIN (implicit)
[2025-05-24 14:12:03,007] INFO in base: COMMIT
[2025-05-24 14:12:03,007] INFO in base: COMMIT
[2025-05-24 14:12:06,611] INFO in base: BEGIN (implicit)
[2025-05-24 14:12:06,611] INFO in base: BEGIN (implicit)
[2025-05-24 14:12:06,627] INFO in base: SELECT users.email, users.password_hash, users.name, users.avatar, users.role, users.phone, users.country, users.timezone, users.skills, users.bio, users.languages, users.certifications, users.social_links, users.organization_name, users.organization_website, users.organization_size, users.industry, users.specializations, users.mentorship_areas, users.is_online, users.last_seen, users.preferences, users.is_team_lead, users.permissions, users.active_hackathons, users.completed_hackathons, users.active_teams, users.rating, users.achievement_count, users.reputation_score, users.communication_preferences, users.notification_settings, users.availability, users.email_verified, users.phone_verified, users.verification_token, users.verification_expires, users.reset_token, users.reset_token_expires, users.totp_secret, users.account_locked, users.account_locked_until, users.failed_login_attempts, users.last_login, users.password_changed_at, users.accepted_terms, users.accepted_privacy_policy, users.id, users.created_at, users.updated_at, users.is_deleted 
FROM users 
WHERE users.email = $1::VARCHAR
[2025-05-24 14:12:06,627] INFO in base: SELECT users.email, users.password_hash, users.name, users.avatar, users.role, users.phone, users.country, users.timezone, users.skills, users.bio, users.languages, users.certifications, users.social_links, users.organization_name, users.organization_website, users.organization_size, users.industry, users.specializations, users.mentorship_areas, users.is_online, users.last_seen, users.preferences, users.is_team_lead, users.permissions, users.active_hackathons, users.completed_hackathons, users.active_teams, users.rating, users.achievement_count, users.reputation_score, users.communication_preferences, users.notification_settings, users.availability, users.email_verified, users.phone_verified, users.verification_token, users.verification_expires, users.reset_token, users.reset_token_expires, users.totp_secret, users.account_locked, users.account_locked_until, users.failed_login_attempts, users.last_login, users.password_changed_at, users.accepted_terms, users.accepted_privacy_policy, users.id, users.created_at, users.updated_at, users.is_deleted 
FROM users 
WHERE users.email = $1::VARCHAR
[2025-05-24 14:12:06,628] INFO in base: [generated in 0.00119s] ('it.zm2x@gmail.com',)
[2025-05-24 14:12:06,628] INFO in base: [generated in 0.00119s] ('it.zm2x@gmail.com',)
[2025-05-24 14:12:07,028] INFO in base: ROLLBACK
[2025-05-24 14:12:07,028] INFO in base: ROLLBACK
[2025-05-24 14:17:41,248] INFO in error_handlers: Application startup
[2025-05-24 14:17:41,313] INFO in error_handlers: Application startup
[2025-05-24 14:17:41,313] INFO in error_handlers: Application startup
[2025-05-24 14:17:42,691] INFO in base: select pg_catalog.version()
[2025-05-24 14:17:42,691] INFO in base: select pg_catalog.version()
[2025-05-24 14:17:42,692] INFO in base: [raw sql] ()
[2025-05-24 14:17:42,692] INFO in base: [raw sql] ()
[2025-05-24 14:17:43,177] INFO in base: select current_schema()
[2025-05-24 14:17:43,177] INFO in base: select current_schema()
[2025-05-24 14:17:43,177] INFO in base: [raw sql] ()
[2025-05-24 14:17:43,177] INFO in base: [raw sql] ()
[2025-05-24 14:17:43,669] INFO in base: show standard_conforming_strings
[2025-05-24 14:17:43,669] INFO in base: show standard_conforming_strings
[2025-05-24 14:17:43,669] INFO in base: [raw sql] ()
[2025-05-24 14:17:43,669] INFO in base: [raw sql] ()
[2025-05-24 14:17:44,039] INFO in base: BEGIN (implicit)
[2025-05-24 14:17:44,039] INFO in base: BEGIN (implicit)
[2025-05-24 14:17:44,040] INFO in base: COMMIT
[2025-05-24 14:17:44,040] INFO in base: COMMIT
[2025-05-24 14:17:45,022] INFO in error_handlers: Application startup
[2025-05-24 14:17:45,095] INFO in error_handlers: Application startup
[2025-05-24 14:17:45,095] INFO in error_handlers: Application startup
[2025-05-24 14:17:46,462] INFO in base: select pg_catalog.version()
[2025-05-24 14:17:46,462] INFO in base: select pg_catalog.version()
[2025-05-24 14:17:46,463] INFO in base: [raw sql] ()
[2025-05-24 14:17:46,463] INFO in base: [raw sql] ()
[2025-05-24 14:17:46,947] INFO in base: select current_schema()
[2025-05-24 14:17:46,947] INFO in base: select current_schema()
[2025-05-24 14:17:46,947] INFO in base: [raw sql] ()
[2025-05-24 14:17:46,947] INFO in base: [raw sql] ()
[2025-05-24 14:17:47,432] INFO in base: show standard_conforming_strings
[2025-05-24 14:17:47,432] INFO in base: show standard_conforming_strings
[2025-05-24 14:17:47,432] INFO in base: [raw sql] ()
[2025-05-24 14:17:47,432] INFO in base: [raw sql] ()
[2025-05-24 14:17:47,795] INFO in base: BEGIN (implicit)
[2025-05-24 14:17:47,795] INFO in base: BEGIN (implicit)
[2025-05-24 14:17:47,796] INFO in base: COMMIT
[2025-05-24 14:17:47,796] INFO in base: COMMIT
[2025-05-24 14:20:26,333] INFO in error_handlers: Application startup
[2025-05-24 14:20:27,148] INFO in error_handlers: Application startup
[2025-05-24 14:20:27,208] INFO in error_handlers: Application startup
[2025-05-24 14:20:27,208] INFO in error_handlers: Application startup
[2025-05-24 14:20:28,562] INFO in base: select pg_catalog.version()
